0.000	0.000	0.000	0.000	0.000	43.955
0.000	0.000	0.000	0.000	0.970	-2.665
0.000	0.000	0.000	0.966	0.000	2.904
0.000	-0.000	-0.000	0.478	0.567	-3.602
0.000	0.000	0.989	0.000	0.000	1.160
0.000	0.000	0.646	0.000	0.414	-3.904
0.000	0.000	0.705	0.339	0.000	-0.929
0.000	-0.000	0.562	0.172	0.342	-4.078
0.000	0.817	0.000	0.000	0.000	12.331
0.000	0.611	-0.000	0.000	0.281	6.815
0.000	0.633	0.000	0.258	0.000	8.496
0.000	0.494	-0.000	0.212	0.233	4.590
0.000	0.448	0.496	0.000	0.000	5.171
0.000	0.299	0.472	0.000	0.226	1.075
0.000	0.384	0.457	0.129	0.000	3.809
0.000	0.266	0.446	0.091	0.209	0.426
1.097	0.000	0.000	0.000	0.000	-22.237
0.443	0.000	0.000	0.000	0.656	-14.340
0.481	0.000	0.000	0.619	0.000	-11.361
0.244	0.000	-0.000	0.378	0.479	-9.848
0.178	0.000	0.858	0.000	0.000	-3.960
-0.036	-0.000	0.664	0.000	0.424	-3.001
0.031	0.000	0.689	0.330	0.000	-1.762
-0.086	0.000	0.598	0.187	0.359	-1.900
0.289	0.651	0.000	0.000	0.000	1.289
0.231	0.538	0.000	0.000	0.200	-0.392
0.225	0.568	0.000	0.169	0.000	1.243
0.177	0.472	-0.000	0.152	0.185	-0.307
0.054	0.439	0.466	0.000	0.000	3.547
-0.024	0.299	0.485	0.000	0.233	1.673
0.013	0.384	0.451	0.125	0.000	3.440
-0.054	0.260	0.471	0.103	0.222	1.675
